index,titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,genre1,genre2,genre 3
347,tt4526630,Jumbulingam 3D,98,5.5,8,0,2016,150,1,6,2
350,tt4568328,Puli kōṭpāṭu,98,7.2,622,0,2016,107,1,6,2
351,tt4727512,Selvandhan,alternative,7.5,11098,0,2015,158,0,2,99
352,tt4762826,Inimey Ippadithan,98,5.5,273,0,2015,134,6,5,99
353,tt4849438,Baahubali: The Conclusion,working,8.2,74576,0,2017,167,0,2,99
354,tt4901338,Sakalakalavallavan Appatakkar,alternative,3.1,337,0,2015,150,0,6,99
355,tt4937812,Thoonga Vanam,98,7,1915,0,2015,128,0,7,8
357,tt4958666,Yengalai Pol Yaarum Illai,alternative,5.1,794,0,2015,170,0,6,5
358,tt4959148,Dhum,imdbDisplay,3.7,27,0,2003,150,0,99,99
359,tt4959326,Inji Iduppazhagi,alternative,5.4,595,0,2015,125,6,5,99
360,tt4960754,Adhisayam,working,5.6,148,0,2003,138,0,2,99
362,tt4974356,Surya Kavasam,alternative,3.7,565,0,2015,130,0,3,99
363,tt4981012,Valla Desam,imdbDisplay,8.3,15,0,2017,133,0,99,99
364,tt5039054,Thozha,imdbDisplay,8,4200,0,2016,158,6,2,99
365,tt5124096,Thagamagan,imdbDisplay,6,1802,0,2015,122,0,2,5
366,tt5254636,Kanavu Variyam,imdbDisplay,6.7,132,0,2017,98,2,10,99
367,tt5285050,Haiku,working,7.5,1125,0,2015,127,2,10,99
368,tt5310090,Irudhi Suttru,imdbDisplay,7.6,11294,0,2016,109,0,2,15
369,tt5323298,Naagini,alternative,3.3,1275,0,2015,60,2,3,14
370,tt5323640,Si3,working,6.2,5394,0,2017,155,0,8,99
375,tt5371168,Pakkiri,alternative,6.9,6291,0,2018,92,1,6,2
376,tt5543690,Oru Melliya Kodu,98,5.7,143,0,2016,125,0,14,8
377,tt5556110,Pugal,98,5.5,161,0,2016,126,0,99,99
378,tt5632164,Villathi Villain Veerapan,alternative,5.3,690,0,2016,125,0,16,7
379,tt5698088,Pambhu Sattai,98,6.2,133,0,2017,140,0,99,99
380,tt5756242,Marudhu,alternative,5.2,279,0,2016,146,0,2,99
382,tt5782230,YAAGAM,98,6.4,49,0,2018,137,3,99,99
383,tt5815940,Thiruppu Munai,alternative,7.1,1739,0,2016,144,14,5,8
384,tt5833252,Muthina Kathirikai,imdbDisplay,5.5,73,0,2016,131,6,2,99
385,tt5849126,Raja Mandhiri,98,7.1,72,0,2016,128,6,2,99
386,tt5954088,Commando 2: The Black Money Trail,alternative,5.3,2873,0,2017,144,0,8,99
387,tt5958304,Wagah,working,3.4,173,0,2016,122,0,2,99
388,tt6091462,Padaiveeran,imdbDisplay,6.2,137,0,2018,130,2,99,99
389,tt6114940,Devi,imdbDisplay,6.2,904,0,2016,126,6,13,99
390,tt6131328,Aangila Padam,imdbDisplay,1.4,30,0,2017,126,6,99,99
391,tt6146894,Enga Amma Rani,working,6.2,34,0,2017,150,0,99,99
392,tt6182372,Akilandakodi Brahmandanayagan,alternative,7.2,230,0,2017,140,16,3,99
393,tt6223492,Thiraikku Varadha Kathai,alternative,3,15,0,2016,132,13,8,99
394,tt6237966,Thaana Serndha Koottam,working,6.7,4961,0,2018,138,0,6,7
398,tt6264404,Deepavali Thuppakki,working,5.3,27,0,2016,164,6,99,99
399,tt6299040,Ghazi,alternative,7.6,11830,0,2017,116,0,8,9
400,tt6449478,Indiralohathil Na Azhagappan,working,7.3,10,0,2008,150,6,99,99
401,tt6485666,Mersal,imdbDisplay,7.6,24241,0,2017,172,0,8,99
403,tt6492958,Yenda Nerathilum,98,4.8,13,0,2017,112,13,99,99
404,tt6539142,Kannadi Pookal,imdbDisplay,6.7,9,0,2005,147,2,99,99
405,tt6567406,Muthuraamalingam,98,1.6,184,0,2017,137,0,2,99
406,tt6568614,Kalam Vellum,98,6,8,0,1970,127,98,99,99
407,tt6586992,Solli Vidava,imdbDisplay,6,34,0,2018,150,5,99,99
408,tt6723182,Shivalinga,working,4.7,395,0,2017,156,13,99,99
409,tt6734886,Pa Paandi,98,7.5,1270,0,2017,125,0,2,10
410,tt6735034,AAA,98,2.3,551,0,2017,160,0,99,99
411,tt6760704,Brindhaavanam,98,6.8,157,0,2017,170,2,99,99
412,tt6836936,Saaho,imdbDisplay,5.2,15514,0,2019,170,0,8,99
413,tt6863784,Saamy Square,alternative,4.5,1177,0,2018,156,0,99,99
415,tt6878378,Thala 57,working,5.6,10585,0,2017,149,0,8,99
416,tt7010156,Maragatha Naanayam,98,7,1215,0,2017,150,1,6,3
417,tt7019812,VIP 2,alternative,5.4,1937,0,2017,128,0,6,99
418,tt7023500,Nenjil Thunivirundhal,98,5.5,192,0,2017,133,0,2,99
420,tt7055824,Chennai2Singapore,imdbDisplay,6,146,0,2017,122,6,5,99
421,tt7060344,ராட்சசன்,imdbDisplay,8.7,23341,0,2018,170,0,7,8
422,tt7060460,Dheeran Athigaram Ondru,imdbDisplay,8.2,9916,0,2017,157,0,7,8
423,tt7160938,Team 5,alternative,4.3,68,0,2017,101,1,15,99
424,tt7201238,Thappu Thanda,imdbDisplay,6.2,45,0,2017,146,7,99,99
425,tt7235930,Kaalakkoothu,imdbDisplay,5.8,75,0,2018,122,0,99,99
426,tt7246718,Subedar Joginder Singh,imdbDisplay,7,341,0,2018,139,0,16,2
427,tt7249854,Naan Aanaiyittaal,alternative,5.8,1215,0,2017,153,0,8,99
428,tt7249874,Gentleman Sathya,alternative,5.9,805,0,2017,145,0,8,99
429,tt7286456,Joker,imdbDisplay,8.5,919937,0,2019,122,7,2,8
430,tt7329602,Thamizh Padam 2.0,imdbDisplay,6.5,1329,0,2018,143,6,99,99
